"What A Girl Wants","Christina Aguilera "
"Gettin' Over You","David Guetta & Chris Willis Featuring Fergie & LMFAO"
"Lover, Lover","Jerrod Niemann "
"Jessie's Girl","Glee Cast"
"Neutron Star Collision (Love Is Forever)","Muse "
"WooHoo","Christina Aguilera Featuring Nicki Minaj "
"Somebody To Love","Justin Bieber "
"Safety Dance","Glee Cast"
"I Like It","Enrique Iglesias Featuring Pitbull "
"Bad Romance","Glee Cast"
"Love Like Crazy","Lee Brice "
"Pyramid","Charice Featuring Iyaz "
"Free","Zac Brown Band "
"Hold You (Hold Yuh)","Gyptian "
"Window Seat","Erykah Badu "
"Poker Face","Glee Cast"
"Your Love","Nicki Minaj "
"Dynamite","Taio Cruz "
"Waka Waka (This Time For Africa)","Shakira Featuring Freshlyground "
"Up All Night","Drake Featuring Nicki Minaj "
"9 AM In Dallas","Drake"
"Got Your Back","T.I. Featuring Keri Hilson "
"Hey","Lil Jon Featuring 3OH!3 "
"Miss Me","Drake Featuring Lil Wayne "
"Beautiful Monster","Ne-Yo "
"Never Say Never","Justin Bieber Featuring Jaden Smith "
"Teach Me How To Dougie","Cali Swag District "
"Pretty Good At Drinkin' Beer","Billy Currington "
"Sex Room","Ludacris Featuring Trey Songz "
"Shark In The Water","V V Brown"
"Fireworks","Drake Featuring Alicia Keys "
"The Only Exception","Paramore "
"Half Of My Heart","John Mayer "
"Glitter In The Air","Pink "
"If It's Love","Train "
"I'm In","Keith Urban "
"Another Way To Die","Disturbed "
"Little White Church","Little Big Town "
"Animal","Neon Trees "
"Double Vision","3OH!3 "
"Pretty Boy Swag","Soulja Boy Tell'em "
"143","Bobby Brackins Featuring Ray J "
"Lay Me Down","The Dirty Heads Featuring Rome "
"Our Kind Of Love","Lady Antebellum "
"Finding My Way Back","Jaheim "
"Farmer's Daughter","Rodney Atkins "
"This Ain't Nothin'","Craig Morgan "
"All About Tonight","Blake Shelton "
"Fancy","Drake Featuring T.I. & Swizz Beatz "
"Magic","B.o.B Featuring Rivers Cuomo "
"Love The Way You Lie","Eminem Featuring Rihanna "
"DJ Got Us Fallin' In Love","Usher Featuring Pitbull "
"Misery","Maroon 5 "
"Jar Of Hearts","Christina Perri "
"Round & Round","Selena Gomez & The Scene "
"Secrets","OneRepublic "
"POWER","Kanye West "
"King Of Anything","Sara Bareilles "
"Come Back Song","Darius Rucker "
"If I Had You","Adam Lambert "
"Break My Bank","New Boyz Featuring Iyaz "
"La La La","Auburn Featuring Iyaz "
"We'll Be A Dream","WE the Kings Featuring Demi Lovato "
"If I Die Young","The Band Perry "
"Club Can't Handle Me","Flo Rida Featuring David Guetta "
"B.M.F. (Blowin' Money Fast)","Rick Ross Featuring Styles P "
"Deuces","Chris Brown Featuring Tyga & Kevin McCall "
"All Over Me","Josh Turner "
"Cuando Me Enamoro","Enrique Iglesias Featuring Juan Luis Guerra "
"Opposite Of Adults","Chiddy Bang "
"Ordinary Girl","Hannah Montana "
"Bittersweet","Fantasia "
"No Love","Eminem Featuring Lil Wayne "
"Love All Over Me","Monica "
"Roll With It","Easton Corbin "
"Mockingbird","Rob Thomas "
"Teenage Dream","Katy Perry "
"Mine","Taylor Swift "
"Just The Way You Are","Bruno Mars "
"Take It Off","Ke$ha "
"Bottoms Up","Trey Songz Featuring Nicki Minaj "
"Stuck Like Glue","Sugarland "
"The Boys of Fall","Kenny Chesney "
"Circle The Drain","Katy Perry "
"Letting Go (Dutty Love)","Sean Kingston Featuring Nicki Minaj "
"Rockstar 101","Rihanna Featuring Slash "
"2012 (It Ain"t The End)","Jay Sean Featuring Nicki Minaj "
"Champagne Life","Ne-Yo "
"As She's Walking Away","Zac Brown Band Featuring Alan Jackson "
"The Catalyst","Linkin Park "
"Bed Intruder Song","Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson"
"September","Daughtry "
"Like A G6","Far*East Movement Featuring Cataracs & Dev"
"The Man Who Can't Be Moved","The Script "
"Rhythm of Love","Plain White T's "
"Love Like Woe","The Ready Set "
"Little Lion Man","Mumford & Sons "
"Hot Tottie","Usher Featuring Jay-Z "
"Just A Dream","Nelly "
"Right Above It","Lil Wayne Featuring Drake "
"A Year Without Rain","Selena Gomez & The Scene "
"F**k You (Forget You)","Cee Lo Green "
"2012 (It Ain't The End)","Jay Sean Featuring Nicki Minaj "
"No Hands","Waka Flocka Flame Featuring Roscoe Dash & Wale "
"Hollywood","Michael Buble "
"My Kinda Party","Jason Aldean "
"Erase Me","Kid Cudi Featuring Kanye West "
"Only Girl (In The World)","Rihanna "
"Holding You Down (Goin In Circles)","Jazmine Sullivan "
"Check It Out","will.i.am & Nicki Minaj"
"Why Wait","Rascal Flatts "
"Toot It And Boot It","YG"
"Dumb Love","Sean Kingston "
"The Breath You Take","George Strait "
"Introducing Me","Nick Jonas "
"Dog Days Are Over","Florence + The Machine "
"Anything Like Me","Brad Paisley "
"Only Prettier","Miranda Lambert "
"Way Out Here","Josh Thompson "
"Trailerhood","Toby Keith "
"Speak Now","Taylor Swift "
"Runaway","Kanye West Featuring Pusha T "
"I Want To Hold Your Hand","Glee Cast"
"One Of Us","Glee Cast"
"Hey Baby (Drop It To The Floor)","Pitbull Featuring T-Pain "
"We No Speak Americano","Yolanda Be Cool & Dcup "
"Only The Good Die Young","Glee Cast"
"Raise Your Glass","P!nk "
"Please Don't Go","Mike Posner "
"Can't Be Friends","Trey Songz "
"Losing My Religion","Glee Cast"
"Gonorrhea","Lil Wayne Featuring Drake "
"Papa Can You Hear Me?","Glee Cast"
"All I Want Is You","Miguel Featuring J. Cole "
"Bridge Over Troubled Water","Glee Cast"
"I Look To You","Glee Cast"
"Mama's Song","Carrie Underwood "
"Right Thru Me","Nicki Minaj "
"The Lazy Song","Bruno Mars "
"Turn On The Radio","Reba "
"Grenade","Bruno Mars "
"Like We Used To","A Rocket To The Moon "
"Stereo Love","Edward Maya & Vika Jigulina"
"Memories","David Guetta Featuring Kid Cudi "
"Waiting For The End","Linkin Park "
"Aston Martin Music","Rick Ross Featuring Drake & Chrisette Michele "
"Loca","Shakira Featuring El Cata "
"Smoke A Little Smoke","Eric Church "
"What's My Name?","Rihanna Featuring Drake "
"We R Who We R","Ke$ha "
"Firework","Katy Perry "
"Whip My Hair","Willow "
"Felt Good On My Lips","Tim McGraw "
"Black And Yellow","Wiz Khalifa "
"Monster","Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj "
"Sleazy","Ke$ha "
"Roman's Revenge","Nicki Minaj Featuring Eminem "
"Yeah 3X","Chris Brown "
"Bon, Bon","Pitbull "
"Shake","Jesse McCartney "
"Somewhere With You","Kenny Chesney "
"Loca","Shakira Featuring El Cata or Dizzee Rascal "
"Get Back Up","T.I. Featuring Chris Brown "
"Lay It Down","Lloyd "
"Lo Mejor De Mi Vida Eres Tu/The Best Thing About Me Is You","Ricky Martin Featuring Natalia Jimenez "
"Sparks Fly","Taylor Swift "
"Put You In A Song","Keith Urban "
"Angel","Akon "
"Sick","New Hollow"
"Voices","Chris Young "
"Porn Star Dancing","My Darkest Days Featuring Zakk Wylde "
"Don't You Wanna Stay","Jason Aldean With Kelly Clarkson"
"One In A Million","Ne-Yo "
"This Ain't No Love Song","Trace Adkins "
"Someone Else Calling You Baby","Luke Bryan "
"Bullets In The Gun","Toby Keith "
"The Big Bang","RockMafia"
"Who Are You When I'm Not Looking","Blake Shelton "
"Radioactive","Kings Of Leon "
"The Time (Dirty Bit)","The Black Eyed Peas "
"Tonight (I'm Lovin' You)","Enrique Iglesias Featuring Ludacris & DJ Frank E "
"Dog Days Are Over","Glee Cast"
"Christmas Lights","Coldplay "
"Hey, Soul Sister","Glee Cast"
"(I've Had) The Time Of My Life","Glee Cast"
"Back To December","Taylor Swift "
"Coming Home","Diddy - Dirty Money Featuring Skylar Grey "
"Valerie","Glee Cast"
"Who Dat Girl","Flo Rida Featuring Akon "
"Marry You","Glee Cast"
"Kush","Dr. Dre Featuring Snoop Dogg & Akon "
"Forget You","Glee Cast Featuring Gwyneth Paltrow"
"Pretty Girl Rock","Keri Hilson "
"Hold My Hand","Michael Jackson Duet With Akon"
"Down On Me","Jeremih Featuring 50 Cent "
"Freak The Freak Out","Victorious Cast Featuring Victoria Justice "
"Boots","The Killers "
"Fire Flame","Birdman Featuring Lil Wayne "
"Maybe","Sick Puppies "
"Let Me Down Easy","Billy Currington "
"Hello World","Lady Antebellum "
"Marry You","Bruno Mars "
"Make A Movie","Twista Featuring Chris Brown "
"Rocketeer","Far*East Movement Featuring Ryan Tedder"
"Marry Me","Train "
"Don't Cry For Me Argentina (Lea Michele Version)","Glee Cast"
"Singing In The Rain / Umbrella","Glee Cast Featuring Gwyneth Paltrow"
"6 Foot 7 Foot","Lil Wayne Featuring Cory Gunz "
"Higher","Taio Cruz Featuring Travie McCoy "
"I Just Had Sex","The Lonely Island Featuring Akon "
"Moment 4 Life","Nicki Minaj Featuring Drake "
"More","Usher "
"This Is Country Music","Brad Paisley "
"Fall For Your Type","Jamie Foxx Featuring Drake "
"Big Night","Big Time Rush "
"Are You Gonna Kiss Me Or Not","Thompson Square "
"That's All She Wrote","T.I. Featuring Eminem "
"No BS","Chris Brown "
"Do The John Wall","Troop 41 "
"What Do You Want","Jerrod Niemann "
"A Little Bit Stronger","Sara Evans "
"Bass Down Low","Dev Featuring The Cataracs "
"F**kin' Perfect","P!nk "
"Hold It Against Me","Britney Spears "
"What The Hell","Avril Lavigne "
"For The First Time","The Script "
"All Of The Lights","Kanye West "
"The Show Goes On","Lupe Fiasco "
"Colder Weather","Zac Brown Band "
"Who's That Chick?","David Guetta Featuring Rihanna "
"You Be Killin Em","Fabolous "
"Buzzin'","Mann "
"S&M","Rihanna "
"Rolling In The Deep","Adele "
"This","Darius Rucker "
"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock "
"From A Table Away","Sunny Sweeney "
"H*A*M","Kanye West & Jay-Z"
"Wildflower","The JaneDear Girls "
"Help Is On The Way","Rise Against "
"Little Miss","Sugarland "
"Make It Rain","Travis Porter "
"Blow","Ke$ha "
"Boyfriend","New Hollow"
"Shake Me Down","Cage The Elephant "
"Love Faces","Trey Songz "
"Born This Way","Lady Gaga "
"E.T.","Katy Perry Featuring Kanye West"
"On The Floor","Jennifer Lopez Featuring Pitbull "
"I Need A Doctor","Dr. Dre Featuring Eminem & Skylar Grey "
"Look At Me Now","Chris Brown Featuring Lil Wayne & Busta Rhymes "
"Backseat","New Boyz Featuring The Cataracs & Dev "
"Don't You Want Me","Glee Cast"
"On My Level","Wiz Khalifa Featuring Too $hort "
"The Cave","Mumford & Sons "
"Blame It (On The Alcohol)","Glee Cast"
"Tik Tok","Glee Cast"
"Someone Like You","Adele "
"Just Can't Get Enough","The Black Eyed Peas "
"Written In The Stars","Tinie Tempah Featuring Eric Turner "
"I Won't Let Go","Rascal Flatts "
"Sing","My Chemical Romance "
"Pray","Justin Bieber "
"Boyfriend","Big Time Rush "
"Heart Like Mine","Miranda Lambert "
"Roll Up","Wiz Khalifa "
"Bow Chicka Wow Wow","Mike Posner Featuring Lil Wayne "
"Set Fire To The Rain","Adele "
"Welcome To My Hood","DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain "
"Bleed Red","Ronnie Dunn "
"Price Tag","Jessie J Featuring B.o.B "
"I Smile","Kirk Franklin "
"The Shape I'm In","Joe Nichols "
"U Smile","Justin Bieber "
"Country Boy","Aaron Lewis Featuring George Jones & Charlie Daniels "
"No Sleep","Wiz Khalifa "
"Till The World Ends","Britney Spears "
"Next To You","Chris Brown Featuring Justin Bieber "
"Who Says","Selena Gomez & The Scene "
"Best Love Song","T-Pain Featuring Chris Brown "
"Loser Like Me","Glee Cast"
"John","Lil Wayne Featuring Rick Ross "
"Friday","Rebecca Black "
"Did It On'em","Nicki Minaj "
"You Lie","The Band Perry "
"Where You At","Jennifer Hudson "
"Live A Little","Kenny Chesney "
"Without You","Keith Urban "
"Get It Right","Glee Cast"
"Tomorrow","Chris Young "
"Sure Thing","Miguel "
"Bring It Back","Travis Porter "
"I Can't Love You Back","Easton Corbin "
"Grove St. Party","Waka Flocka Flame Featuring Kebo Gotti"
"Far Away","Marsha Ambrosius "
"If Heaven Wasn't So Far Away","Justin Moore "
"Family Man","Craig Campbell "
"Country Song","Seether "
"Georgia Clay","Josh Kelley "
"Mean","Taylor Swift "
"Crazy Girl","Eli Young Band "
"Rope","Foo Fighters "
"Walking","Mary Mary "
"F**k Him He's A DJ","Ke$ha "
"Homeboy","Eric Church "
"Judas","Lady Gaga "
"Give Me Everything","Pitbull Featuring Ne-Yo, AfroJack & Nayer "
"Country Girl (Shake It For Me)","Luke Bryan "
"Run The World (Girls)","Beyonce "
"Honey Bee","Blake Shelton "
"Old Alabama","Brad Paisley Featuring Alabama "
"Determinate","Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko "
"Motivation","Kelly Rowland Featuring Lil Wayne "
"Racks","YC Featuring Future "
"Turning Tables","Adele "
"Dirt Road Anthem","Jason Aldean "
"Turning Tables","Glee Cast Featuring Gwyneth Paltrow"
"My Last","Big Sean Featuring Chris Brown "
"Tonight Tonight","Hot Chelle Rae "
"Beggin' On Your Knees","Victorious Cast Featuring Victoria Justice "
"She Ain't You","Chris Brown "
"Hello","Martin Solveig & Dragonette"
"All By Myself","Glee Cast"
"Breakthrough","Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko "
"Somebody","Bridgit Mendler "
"Hustle Hard","Ace Hood "
"Good Life","OneRepublic "
"I Do","Colbie Caillat "
"Papi","Jennifer Lopez "
"Hair","Lady Gaga "
"Super Bass","Nicki Minaj "
"The Edge Of Glory","Lady Gaga "
"Dirty Dancer","Enrique Iglesias Wtih Usher Featuring Lil Wayne"
"Just A Kiss","Lady Antebellum "
"Knee Deep","Zac Brown Band Featuring Jimmy Buffett "
"Ballin'","Young Jeezy Featuring Lil Wayne "
"Pure Imagination","Glee Cast"
"Where Them Girls At","David Guetta Featuring Flo Rida & Nicki Minaj "
"Am I The Only One","Dierks Bentley "
"Never Gonna Leave This Bed","Maroon 5 "
"(It) Feels So Good","Steven Tyler "
"Pumped Up Kicks","Foster The People "
"Barefoot Blue Jean Night","Jake Owen "
"Right There","Nicole Scherzinger Featuring 50 Cent "
"I'm On One","DJ Khaled Featuring Drake, Rick Ross & Lil Wayne "
"California King Bed","Rihanna "
"Back To Black","Glee Cast"
"Somewhere Else","Toby Keith "
"9 Piece","Rick Ross Featuring Lil Wayne Or T.I. "
"Danza Kuduro","Don Omar & Lucenzo"
"The Story Of Us","Taylor Swift "
"Rolling In The Deep","Glee Cast Featuring Jonathan Groff"
"Don't Wanna Go Home","Jason Derulo "
"My Man","Glee Cast"
"Look It Up","Ashton Shepherd "
"Jack Sparrow","The Lonely Island Featuring Michael Bolton "
"Friday","Glee Cast"
"Last Friday Night (T.G.I.F.)","Katy Perry "
"Dirt Road Anthem","Jason Aldean Featuring Ludacris "
"How To Love","Lil Wayne "
"Lighters","Bad Meets Evil Featuring Bruno Mars "
"Remind Me","Brad Paisley Duet With Carrie Underwood"
"Dirty Dancer","Enrique Iglesias With Usher Featuring Lil Wayne"
"You And Tequila","Kenny Chesney Featuring Grace Potter "
"Every Teardrop Is A Waterfall","Coldplay "
"Heartless","Dia Frampton "
"Man Down","Rihanna "
"Angel","Javier Colon "
"Today Is Your Day","Shania Twain "
"Best Thing I Never Had","Beyonce "
"I Love You This Big","Scotty McCreery "
"Out Of My Head","Lupe Fiasco Featuring Trey Songz "
"Rain Over Me","Pitbull Featuring Marc Anthony "
"Jolene","Vicci Martinez "
"Take A Back Road","Rodney Atkins "
"Keep Your Head Up","Andy Grammer "
"Unusual","Trey Songz Featuring Drake "
"Just Fishin'","Trace Adkins "
"Stereo Hearts","Gym Class Heroes Featuring Adam Levine "
"I Wanna Go","Britney Spears "
"Black Horse And The Cherry Tree","Casey Weston "
"See No More","Joe Jonas "
"I'm Into You","Jennifer Lopez Featuring Lil Wayne "
"Best Friend's Brother","Victorious Cast Featuring Victoria Justice "
"Take Over Control","AfroJack Featuring Eva Simons "
"Made In America","Toby Keith "
"Love Done Gone","Billy Currington "
"Price Tag","Xenia "
"Monster","Paramore "
"Give Me Everything","Pitbull Featuring Ne-Yo, Afrojack & Nayer "
"Skyscraper","Demi Lovato "
"Love You Like A Love Song","Selena Gomez & The Scene "
"Booty Wurk (One Cheek At A Time)","T-Pain Featuring Joey Galaxy"
"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera "
"God Gave Me You","Blake Shelton "
"Better With The Lights Off","New Boyz Featuring Chris Brown "
"Take Over Control","Afrojack Featuring Eva Simons "
"Here For A Good Time","George Strait "
"You Make Me Feel...","Cobra Starship Featuring Sabi "
"What If","Colbie Caillat "
"Smile","Avril Lavigne "
"Save Me, San Francisco","Train "
"Up All Night","Blink-182 "
"Novacane","Frank Ocean "
"Long Hot Summer","Keith Urban "
"Country Must Be Country Wide","Brantley Gilbert "
"Mr. Saxobeat","Alexandra Stan "
"Walk","Foo Fighters "
"Watch Me","Bella Thorne & Zendaya"
"Headlines","Drake "
"Cheers (Drink To That)","Rihanna "
"Otis","Jay Z  Kanye West Featuring Otis Redding"
"It Girl","Jason Derulo "
"Marvins Room","Drake "
"Who Gon Stop Me","Jay Z  Kanye West"
"Marvin & Chardonnay","Big Sean Featuring Kanye West & Roscoe Dash "
"Pretty Girls","Iyaz Featuring Travie McCoy "
"Titanium","David Guetta Featuring Sia "
"Baggage Claim","Miranda Lambert "
"What You Want","Evanescence "
"Quickie","Miguel "
"In The Dark","Dev "
"Ni**as in Paris","Jay Z  Kanye West"
"Easy","Rascal Flatts Featuring Natasha Bedingfield "
"We Don't Get Down Like Y'all","T.I. Featuring B.o.B. "
"Drunk On You","Luke Bryan "
"The Adventures Of Rain Dance Maggie","Red Hot Chili Peppers "
"Gucci Gucci","Kreayshawn "
"Don't Stop The Party","The Black Eyed Peas "
"Faster","Matt Nathanson "
"Nothing","The Script "
"Till I'm Gone","Tinie Tempah Featuring Wiz Khalifa "
"Fish","Craig Campbell "
"One More Drinkin' Song","Jerrod Niemann "
"You And I","Lady Gaga "
"Mrs. Right","Mindless Behavior Featuring Diggy"
"Rumour Has It","Adele "
"Mr. Know It All","Kelly Clarkson "
"Without You","David Guetta Featuring Usher "
"She Will","Lil Wayne Featuring Drake "
"Wanted You More","Lady Antebellum "
"Mirror","Lil Wayne Featuring Bruno Mars "
"Sexy And I Know It","LMFAO "
"Better With The Lights Off","New Boyz Feat. Chris Brown "
"Police Dog Blues","Hugh Laurie "
"Turn Me On","David Guetta Featuring Nicki Minaj "
"Love On Top","Beyonce "
"Blunt Blowin","Lil Wayne "
"Beautiful People","Chris Brown Featuring Benny Benassi "
"Fly","Nicki Minaj Featuring Rihanna "
"Not Over You","Gavin DeGraw "
"We Owned The Night","Lady Antebellum "
"Brighter Than The Sun","Colbie Caillat "
"The Trouble With Girls","Scotty McCreery "
"Sail","AWOLNATION "
"Disaster","JoJo "
"Love Don't Run","Steve Holy "
"I Got You","Thompson Square "
"That Way","Wale Featuring Jeremih & Rick Ross "
"Far Away","Tyga Featuring Chris Richardson "
"All Your Life","The Band Perry "
"Wet The Bed","Chris Brown Feat. Ludacris "
"Hell On Heels","Pistol Annies "
"Work Out","J. Cole "
"Cost Of Livin'","Ronnie Dunn "
"We Found Love","Rihanna Featuring Calvin Harris "
"Strange Clouds","B.o.B Featuring Lil Wayne "
"5 O'Clock","T-Pain Featuring Wiz Khalifa & Lily Allen "
"Crawling Back To You","Daughtry "
"I Like It Like That","Hot Chelle Rae Featuring New Boyz "
"Fix You","Glee Cast"
"Tattoos On This Town","Jason Aldean "
"Hangover","Taio Cruz Featuring Flo Rida "
"It Will Rain","Bruno Mars "
"I'm Flexin'","T.I. Featuring Big K.R.I.T. "
"Paradise","Coldplay "
"I Don't Want This Night To End","Luke Bryan "
"When We Stand Together","Nickelback "
"I Like How It Feels","Enrique Iglesias Featuring Pitbull & The WAV.s "
"Good Feeling","Flo Rida "
"Drink In My Hand","Eric Church "
"Dedication To My Ex (Miss That)","Lloyd Featuring Andre 3000 & Lil Wayne "
"Keep Me In Mind","Zac Brown Band "
"Got 2 Luv U","Sean Paul Featuring Alexis Jordan "
"Body 2 Body","Ace Hood Featuring Chris Brown "
"Let It Rain","David Nail "
"Run The World (Girls)","Glee Cast"
"Dance (A$$)","Big Sean "
"Party","Beyonce Featuring Andre 3000 "
"I Got Nothin'","Darius Rucker "
"The One That Got Away","Katy Perry "
"Dance (A$$)","Big Sean Featuring Nicki Minaj "
"Make Me Proud","Drake Featuring Nicki Minaj "
"Red Solo Cup","Toby Keith "
"Criminal","Britney Spears "
"Young, Wild & Free","Snoop Dogg & Wiz Khalifa Featuring Bruno Mars"
"A Thousand Years","Christina Perri "
"Lotus Flower Bomb","Wale Featuring Miguel "
"Party On Fifth Ave.","Mac Miller "
"You","Chris Young "
"Domino","Jessie J "
"Countdown","Beyonce "
"Last Friday Night","Glee Cast"
"Princess Of China","Coldplay Featuring Rihanna "
"Ambition","Wale Featuring Meek Mill & Rick Ross "
"Shake It Out","Florence + The Machine "
"I'm Gonna Love You Through It","Martina McBride "
"You The Boss","Rick Ross Featuring Nicki Minaj "
"All I Want For Christmas Is You (SuperFestive!)","Justin Bieber Duet With Mariah Carey"
"Promise","Romeo Santos Featuring Usher "
"Blackout","Breathe Carolina "
"Over You","Miranda Lambert "
"Heartbeat","The Fray "
"Reality","Kenny Chesney "
"Drummer Boy","Justin Bieber Featuring Busta Rhymes "
"First Of The Year (Equinox)","Skrillex "
"You Da One","Rihanna "
"The Motto","Drake Featuring Lil Wayne"
"Marry The Night","Lady Gaga "
"Mistletoe","Justin Bieber "
"Take Care","Drake Featuring Rihanna "
"International Love","Pitbull Featuring Chris Brown "
"Perfect","Glee Cast"
"Girls Just Want To Have Fun","Glee Cast"
"Roman In Moscow","Nicki Minaj "
"I Kissed A Girl","Glee Cast"
"Lonely Boy","The Black Keys "
"Tonight Is The Night","Outasight "
"Levels","Avicii "
"Rack City","Tyga "
"Talk That Talk","Rihanna Featuring Jay-Z "
"Tongue Tied","Grouplove "
"Home","Dierks Bentley "
"Can't Get Enough","J. Cole Featuring Trey Songz "
"Ours","Taylor Swift "
"Rumour Has It / Someone Like You","Glee Cast"
"I'm The Only One","Glee Cast"
"Constant Craving","Glee Cast"
"T.H.E. (The Hardest Ever)","will.i.am Featuring Mick Jagger & Jennifer Lopez"
"Storm Warning","Hunter Hayes "
"It's Beginning To Look A Lot Like Christmas","Michael Buble "
"Camouflage","Brad Paisley "
"I Won't Give Up","Jason Mraz "
"Safe & Sound","Taylor Swift Featuring The Civil Wars "
"Let It Rain","David Nail Featuring Sarah Buxton "
"Ass Back Home","Gym Class Heroes Featuring Neon Hitch "
"Stronger (What Doesn't Kill You)","Kelly Clarkson "
"Alone With You","Jake Owen "
"The Champ","Nelly "
"T.H.E (The Hardest Ever)","will.i.am Featuring Mick Jagger & Jennifer Lopez"
"Strip","Chris Brown Featuring Kevin McCall "
"Bait A Hook","Justin Moore "
"Kyoto","Skrillex Featuring Sirah "
"I Do","Young Jeezy Featuring Jay-Z & Andre 3000 "
"You Gonna Fly","Keith Urban "
"Wish You Were Here","Avril Lavigne "
"A Woman Like You","Lee Brice "
"Set You Free","3OH!3 "
"Amen","Edens Edge "
"Scary Monsters And Nice Sprites","Skrillex "
"We Are Young","Fun. Featuring Janelle Monae "
"Wild Ones","Flo Rida Featuring Sia "
"Somebody That I Used To Know","Gotye Featuring Kimbra "
"Lights","Ellie Goulding "
"Where I Come From","Montgomery Gentry "
"Round Of Applause","Waka Flocka Flame Featuring Drake "
"Gotta Have It","Jay Z  Kanye West"
"Play The Guitar","B.o.B Featuring Andre 3000 "
"Give Me All Your Luvin'","Madonna Featuring Nicki Minaj & M.I.A. "
"Smooth Criminal","Glee Cast Featuring 2Cellos"
"Glad You Came","The Wanted "
"Strip","Chris Brown Featuring Kevin K-MAC McCall "
"We Are Young","fun. Featuring Janelle Monae "
"Drive By","Train "
"Human Nature","Glee Cast"
"Black Or White","Glee Cast"
"Stupid Hoe","Nicki Minaj "
"Faded","Tyga Featuring Lil Wayne "
"Dancin' Away With My Heart","Lady Antebellum "
"Drink On It","Blake Shelton "
"Better Than I Used To Be","Tim McGraw "
"Wanna Be Startin' Somethin'","Glee Cast"
"Sorry For Party Rocking","LMFAO "
"Bad","Glee Cast"
"Mr. Wrong","Mary J. Blige Featuring Drake"
"Love's Gonna Make It Alright","George Strait "
"No Church In The Wild","Jay Z  Kanye West Featuring Frank Ocean"
"4 AM","Melanie Fiona "
"Don't Stop (Color On The Walls)","Foster The People "
"Do It Like You","Diggy Featuring Jeremih "
"You Don't Know Her Like I Do","Brantley Gilbert "
"Part Of Me","Katy Perry "
"Starships","Nicki Minaj "
"Good Girl","Carrie Underwood "
"Live My Life","Far*East Movement Featuring Justin Bieber"
"Turn Up The Music","Chris Brown "
"So Good","B.o.B "
"Call Me Maybe","Carly Rae Jepsen "
"Feel So Close","Calvin Harris "
"What Makes You Beautiful","One Direction "
"Birthday Cake","Rihanna Featuring Chris Brown "
"Climax","Usher "
"Somethin' 'Bout A Truck","Kip Moore "
"Fly Over States","Jason Aldean "
"Drank In My Cup","Kirko Bangz "
"Roman Reloaded","Nicki Minaj Featuring Lil Wayne "
"Banjo","Rascal Flatts "
"Bangarang","Skrillex Featuring Sirah "
"Springsteen","Eric Church "
"When I'm Gone","Wiz Khalifa "
"Ayy Ladies","Travis Porter Featuring Tyga "
"Some Nights","fun. "
"UP!","LoveRance Featuring IamSu & Skipper or 50 Cent "
"Make It Nasty","Tyga "
"Magic","Future Featuring T.I. "
"Cough Syrup","Young The Giant "
"Thank You","Estelle "
"Boyfriend","Justin Bieber "
"Eyes Open","Taylor Swift "
"Brokenhearted","Karmin "
"I Dont Really Care","Waka Flocka Flame Featuring Trey Songz "
"Heart Attack","Trey Songz "
"Everybody Talks","Neon Trees "
"No Hurry","Zac Brown Band "
"Even If It Breaks Your Heart","Eli Young Band "
"Midnight City","M83."
"Leave You Alone","Young Jeezy Featuring Ne-Yo "
"She Doesn't Mind","Sean Paul "
"Back In Time","Pitbull "
"Sex Ain't Better Than Love","Trey Songz "
"Crew Love","Drake Featuring The Weekend "
"Time Is Love","Josh Turner "
"This Ole Boy","Craig Morgan "
"We Run The Night","Havana Brown Featuring Pitbull "
"HYFR (Hell Yeah F*****g Right)","Drake Featuring Lil Wayne "
"Ai Se Eu Te Pego","Michel Telo "
"Got My Country On","Chris Cagle "
"Naked","Dev & Enrique Iglesias"
"Too Close","Alex Clare "
"Payphone","Maroon 5 Featuring Wiz Khalifa "
"Work Hard, Play Hard","Wiz Khalifa "
"Dance Again","Jennifer Lopez Featuring Pitbull "
"Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"Feel Like A Rock Star","Kenny Chesney & Tim McGraw"
"Beez In The Trap","Nicki Minaj Featuring 2 Chainz "
"Burn It Down","Linkin Park "
"Whistle","Flo Rida "
"How Will I Know","Glee Cast"
"Cashin Out","Ca$hOut "
"Give Your Heart A Break","Demi Lovato "
"Scream","Usher "
"One Thing","One Direction "
"Right By My Side","Nicki Minaj Featuring Chris Brown "
"Where Have You Been","Rihanna "
"Tonight (Best You Ever Had)","John Legend Featuring Ludacris "
"Stay Schemin","Rick Ross Featuring Drake & French Montana "
"(Kissed You) Good Night","Gloriana "
"Another Round","Fat Joe Featuring Chris Brown "
"Beers Ago","Toby Keith "
"Take It To The Head","DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne "
"Little Talks","Of Monsters And Men "
"Let's Go","Calvin Harris Featuring Ne-Yo "
"Loud","Mac Miller "
